George Washington;Thomas Jefferson;George Washington;Abraham Lincoln;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcThqrOqMKNpGudoB5Qb8U-FFsqUGDceKuK7UewtxntADBCLGk8V
Genghis Khan;Alexander the Great;Genghis Khan;Julius Caesar;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ-_ojWM2tOoQiVektVyL6FiQUW6KVc_oiKNOriOniju4WSH8im
Elizabeth I;Queen Victoria;Elizabeth I;Catherine the Great;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQRtMELirNcnipVF6esgrz92z2VqujoN0PY_yxZJVOvW-22GZsc
Charles Darwin;Isaac Newton;Charles Darwin;Galileo Galilei;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRzgWOmAVC7qbn_iBg-Hd21reFb2vHh8o6sXgK5dUsgsu53VsO8
Martin Luther;John Calvin;Martin Luther;King Henry VIII;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuMsqCyBDlHNpxZlzVmEDIfaNsqmfgqVn32G6aM-BVXtoVKYO0
Simone de Beauvoir;Albert Camus;Simone de Beauvoir;Jean-Paul Sartre;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTdIEwBe2S54GGigzGBgqziIDGBwFdiyXt-2Xf-R1teu8Ok-Fim
Mahatma Gandhi;Nelson Mandela;Mahatma Gandhi;Martin Luther King Jr.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZ5vg1Vvl0XMvGDYOcQyntZeFS4Q5CU9qybPmT3Cs4Spl2eard
Vincent van Gogh;Pablo Picasso;Vincent van Gogh;Leonardo da Vinci;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7d7ASllm8jAxcMy6dan4nvuK-6Iss5xR4itQxWCMxc_41zAsV
Benjamin Franklin;Thomas Edison;Benjamin Franklin;James Watt;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDN9mJeT03n42FkE-wgCJx4ryPIG_ObR5jT6ZhQNxOAO2ljQCP
Catherine the Great;Peter the Great;Catherine the Great;Elizabeth I;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQfh_EwRxE9eHVGFW9bk9VSf49VGgCPofwNIOkALedbDC29PcJj
Fidel Castro;Che Guevara;Fidel Castro;Hugo Chavez;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQXGdQ1dHYSYGklDJo0cnBKDfUeCbEAjxZPh0dKfV1iGY2USEex
John F. Kennedy;Robert F. Kennedy;John F. Kennedy;Barack Obama;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQiClqpQLiOfEDWdQWe7J7mVIhq3F0qVGaw6sMUM0XAwyrsInF1
Sigmund Freud;Carl Jung;Sigmund Freud;Albert Einstein;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHxfse9G8ivvUiTNEnEwvzdlVZsTbIhr3v-AAd8ODbjtTLkHsG
Rosa Parks;Martin Luther King Jr.;Rosa Parks;Harriet Tubman;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQs1djcDhE32CJFwHnUQXVjDV0W9YSZHnWsVvac2PEz2Z-5aRIk
Che Guevara;Fidel Castro;Che Guevara;Mao Zedong;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQu2hpotPFXl7PAzFK65vLhQ16eD9j06awwqmXbbuobCFB_Ftfo
Marlon Brando;Humphrey Bogart;Marlon Brando;Charlie Chaplin;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRWLCSRYKCTBKcyd_vuiqY6daiXs_zNelC31P8u4OyX1kAbMZo3
Mother Teresa;Mahatma Gandhi;Mother Teresa;Martin Luther King Jr.;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRE7tJdkrdgdg3Zls1DfCodChW37FHRYnyV3mnAzWBSkMz6vfic
Oscar Wilde;Mark Twain;Oscar Wilde;William Shakespeare;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTlwXHIT0rBKQ536xVFo6yAqk-keYrr-_HQP4QHe9YJr6Gs-svn
Pablo Picasso;Salvador Dali;Pablo Picasso;Vincent van Gogh;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQQZmSKreHRHPBb6kiwWMJGb-RnQSIzW4HaEBHAzA0QErwXk2aw
Sojourner Truth;Harriet Tubman;Sojourner Truth;Frederick Douglass;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6feVS4PUsGGg1F1yIEHa2b3bE_ayWGrbHucyRlaHzDpC9Ekxj
William Shakespeare;Christopher Marlowe;William Shakespeare;John Milton;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQWb2EbrwIOQbIdswvoSK7mlHpHLwf9zyHkvwshXQGqhXnBDCXZ
James Joyce;Ernest Hemingway;James Joyce;F. Scott Fitzgerald;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT2G7NAYUHnTdsqiO6yZNZw4DKAUXUgTFb20q6pZNBOI0t9KRnr
Mao Zedong;Deng Xiaoping;Mao Zedong;Chiang Kai-shek;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRJ4UNaps5jyuuaHIrWWbULih2oozhKlT-Ewy1Vc_afCCNkTjux
Coco Chanel;Yves Saint Laurent;Coco Chanel;Christian Dior;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSkWezd81Hhi29Hbb0AyaOi-vLGuhiu7lCHb0ISMxtLNuePC6qH
Emperor Qin Shi Huang;Alexander the Great;Emperor Qin Shi Huang;Julius Caesar;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTbqUYG6kR-RqXxnHslrtijck-3WTXmmKWx3w4XehJiJovB-OjW
Ernest Hemingway;John Steinbeck;Ernest Hemingway;George Orwell;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRY8otkwuVqd53HNhZM7hsPfOvQVvcAao1yHYG6LzfORP585gER
Frida Kahlo;Diego Rivera;Frida Kahlo;Salvador Dali;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSjuZ7uvfP3gQn47RknYNlTQuwcraQPwGM4RGKYwlg9KFIrq9Zj
Mikhail Gorbachev;Joseph Stalin;Mikhail Gorbachev;Vladimir Putin;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQzT--eX5z6r9QqV719yXDlw8TFa7RIjoXJE1k9tYs28VRTWojE
Marilyn Monroe;Audrey Hepburn;Marilyn Monroe;Grace Kelly;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTG7tAOOCOAUmKjKHjNX3Ko2bPKLNDQ2jVihBm4cleTDUK40ruE
Marie Antoinette;Louis XVI;Marie Antoinette;Napoleon Bonaparte;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQTB3U1h5ZVwuPuwzP-_v9VgSbNlIlA94HOJL0tHbKkxkfTPWS2
Pope Francis;Pope John Paul II;Pope Francis;Mother Teresa;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRXiI3qJ4-azLgoco--recGkEgfoeGfZFet8AttP-8hs3Lr2FYY
Sun Yat-sen;Mao Zedong;Sun Yat-sen;Chiang Kai-shek;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR7XC53iXgiaQsGhKEhbuomKxXSNJLaYmktQU9GBwv8f09jrtLG
Rutherford B. Hayes;Ulysses S. Grant;Rutherford B. Hayes;Abraham Lincoln;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShZsDdOTkL58MCEwcBtr7lMz_UgKU8xLJk9N7dN611GfyF7-SU
Theodore Roosevelt;Woodrow Wilson;Theodore Roosevelt;Franklin D. Roosevelt;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQvYNpUEIjS-iaVRsxVpMOzEjzrr7R9t2wtb4fIETwVINHb_Dmq
Susan B. Anthony;Elizabeth Cady Stanton;Susan B. Anthony;Harriet Tubman;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR76hkMdM2zkXN7UULBDqqv-ytvhWSjASSPz-CV7GDZmC8yFGqP
William Faulkner;Ernest Hemingway;William Faulkner;F. Scott Fitzgerald;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTsHL-Z86K8eYzuU6-2Yg_m31RF5RiNwv_muHQcLHApqMmGsKCA
Wolfgang Amadeus Mozart;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Sebastian Bach;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTmbLnjhbS4Q7ktFkZ8mRgCuxNiasT6AzdLs_KLTPxlppJfdwD4
Yoko Ono;John Lennon;Yoko Ono;Paul McCartney;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSwa-PyyjM0I3UdAJM7-I-9-xZlMI6ERGlBSef26nqOYTf6WAZ2
Barack Obama;George W. Bush;Barack Obama;Bill Clinton;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMtbV3AA1vNkzU2-eebrRczqU7jyofv53qbb6TOAQ_blaDZcrz
Charles Dickens;Charlotte Brontë;Charles Dickens;Jane Austen;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQJg1kKRFDPbAkLZkCLsHCEaKN8ypVDRMaDlfdmYM5Lra-fLV7r
Elizabeth II;Queen Victoria;Elizabeth II;Prince Philip;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs-1vRsYDcD7iTuGoYeSsbdueOaTCU3qXOhC8Ox2yRbWt6tNRz
Gandhi;Martin Luther King Jr.;Gandhi;Nelson Mandela;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIxFgzGPHD_uZn5aA-RMCwQ8tWRDmk71t6PXwklwlvZ7GxSaqB
John Locke;Thomas Hobbes;John Locke;Jean-Jacques Rousseau;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQrH_3u5xQBzcVCipODcS9kusfpvqn2EmoqITEftwD-dyJFGl_H
Malcolm X;Martin Luther King Jr.;Malcolm X;Rosa Parks;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT3Tjdq4zH7-husIIlano1GQK_Oe6lyW6LCxkS7-8Knw-qV-jra
Napoleon Bonaparte;George Washington;Napoleon Bonaparte;Emperor Qin Shi Huang;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSTGtDw-orDSR385zrsbl91Kg19whIDzKopZ4IZl_0BQpXDY5jO
Plato;Aristotle;Plato;Socrates;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTpus3C5ILc7RQgH8Ec30J-q9Ao0LozCWU13VXnsF7tr5JLxh1c
Rosa Parks;Martin Luther King Jr.;Rosa Parks;Malcolm X;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQs1djcDhE32CJFwHnUQXVjDV0W9YSZHnWsVvac2PEz2Z-5aRIk
Salvador Dali;Pablo Picasso;Salvador Dali;Vincent van Gogh;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyQKvNvF5TJ3m7eMox99Wid5CO4YprSf0Nd9IosfpD6FsuBv9y
Vincent van Gogh;Claude Monet;Vincent van Gogh;Pablo Picasso;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7d7ASllm8jAxcMy6dan4nvuK-6Iss5xR4itQxWCMxc_41zAsV
Winston Churchill;Franklin D. Roosevelt;Winston Churchill;Joseph Stalin;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSb1ofaTfEuBm618q95fm4RpegpXnVEaVgeYsgfIsFeWOFDZ9Ld
John F. Kennedy;Lyndon B. Johnson;John F. Kennedy;Richard Nixon;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQiClqpQLiOfEDWdQWe7J7mVIhq3F0qVGaw6sMUM0XAwyrsInF1
Cleopatra;Mark Antony;Cleopatra;Julius Caesarù;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTPIjHGERXU-qoIQBMFjw_CK6L_QpeIAhOfWorKHTg-hK5ccDFm
Helen Keller;Anne Sullivan;Helen Keller;Thomas Edison;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSf-njKzI9e1edi3zNO9g9tZ5msu85rvlDaE6b7aK6iIopM79zV
Marie Curie;Nikola Tesla;Marie Curie;Thomas Edison;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_xaPaxA4q2Nm007c8DhG_iFRQVnLJyFGHB8g6DZl9Ughnz78_
Nelson Mandela;Desmond Tutu;Nelson Mandela;Steve Biko;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUOIvZF8UIe2Z7KtpjnfGUUVGn-DqOJm-XvbpTNh72SRUfxO2H
Albert Einstein;Isaac Newton;Albert Einstein;Stephen Hawking;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWwBhZ_ZXUdfW5M_JpXdjALYKQvRCHxpBPPPJ_jEB4iQVNqVZZ
Queen Victoria;Prince Albert;Queen Victoria;King Edward VII;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRkKshEI8A3HzFBAEEYrW2Ke8eEQNEUoWZnBX1IzM_1pH_VQHH_
Fidel Castro;Hugo Chavez;Fidel Castro;Che Guevara;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQXGdQ1dHYSYGklDJo0cnBKDfUeCbEAjxZPh0dKfV1iGY2USEex
Coco Chanel;Christian Dior;Coco Chanel;Yves Saint Laurent;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSkWezd81Hhi29Hbb0AyaOi-vLGuhiu7lCHb0ISMxtLNuePC6qH
Walt Disney;Steve Jobs;Walt Disney;Bill Gates;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS_8GDgtzGkoTrmsyg5a7gsS_yiziCw89cpQ4OOjujXHYjLUG0A
Winston Churchill;Dwight D. Eisenhower;Winston Churchill;Charles de Gaulle;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSb1ofaTfEuBm618q95fm4RpegpXnVEaVgeYsgfIsFeWOFDZ9Ld
Leonardo da Vinci;Donatello;Leonardo da Vinci;Raphael;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTnmXXUCuXAxeQ7c8oEvfbEFhmwZpk16OKnc1f62-Ky3pgaLUcG
Martin Luther King Jr.;Malcolm X;Martin Luther King Jr.;Jesse Jackson;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSM6EDaNweYnFiFPbJS5ZulIn5DfMhUK8lTxnOSl7AlgAMZrt3w
Elizabeth I;Mary Queen of Scots;Elizabeth I;Anne Boleyn;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQRtMELirNcnipVF6esgrz92z2VqujoN0PY_yxZJVOvW-22GZsc
Anne Frank;Elie Wiesel;Anne Frank;Oskar Schindler;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTvgRQY0zSUWoe3XvR-249WGH0PUvZFzGD74k7H3cridFlShXKO
Wolfgang Amadeus Mozart;Johann Sebastian Bach;Wolfgang Amadeus Mozart;Ludwig van Beethoven;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTmbLnjhbS4Q7ktFkZ8mRgCuxNiasT6AzdLs_KLTPxlppJfdwD4
Franklin D. Roosevelt;Harry S. Truman;Franklin D. Roosevelt;Dwight D. Eisenhower;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsON3EeKa6uilF97geLSb0sT6WmecBfm3L0m2CySorBx7g3Npg
Bill Clinton;George H.W. Bush;Bill Clinton;Ronald Reagan;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQzV8mnrCD1zgsGONJKTyQnewm1F_iIuZaeyjSsykC3AcHKkN03
Indira Gandhi;Jawaharlal Nehru;Indira Gandhi;Mahatma Gandhi;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjg2ix4IIEmWvi1G5Icm9O6jqo5cpl5xAhWJ0vdAmNhpjjbCPH
Pablo Picasso;Salvador Dali;Pablo Picasso;Claude Monet;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQQZmSKreHRHPBb6kiwWMJGb-RnQSIzW4HaEBHAzA0QErwXk2aw
Albert Camus;Jean-Paul Sartre;Albert Camus;Simone de Beauvoir;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTEap0GV_SMLpXFuIg4ZupEFEy9nqJgfrPhNT9L0uaLGif6bkbO
Henry Ford;Thomas Edison;Henry Ford;Steve Jobs;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR0VXElwdRoj9lg1mOTF0AIUHBhHJurCp1NSkVKY0JYcOXBQzYx
Charles Dickens;Jane Austen;Charles Dickens;Charlotte Brontë;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQJg1kKRFDPbAkLZkCLsHCEaKN8ypVDRMaDlfdmYM5Lra-fLV7r
Mao Zedong;Chiang Kai-shek;Mao Zedong;Deng Xiaoping;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRJ4UNaps5jyuuaHIrWWbULih2oozhKlT-Ewy1Vc_afCCNkTjux
John Locke;Socrates;John Locke;Aristotle;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQrH_3u5xQBzcVCipODcS9kusfpvqn2EmoqITEftwD-dyJFGl_H
Marie Antoinette;Napoleon Bonaparte;Marie Antoinette;Louis XVI;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQTB3U1h5ZVwuPuwzP-_v9VgSbNlIlA94HOJL0tHbKkxkfTPWS2
Eleanor Roosevelt;Jackie Kennedy;Eleanor Roosevelt;Queen Elizabeth II;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQN1fVdS0559mIujbGF6fpUlQ9vFbMSa9SdzFhkWO7KxbLjr_LH
Gandhi;Martin Luther King Jr.;Gandhi;Nelson Mandela;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIxFgzGPHD_uZn5aA-RMCwQ8tWRDmk71t6PXwklwlvZ7GxSaqB
Pope John Paul II;Mother Teresa;Pope John Paul II;Dalai Lama;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRsWoU5sRctdtazofACdo5HIwb5rSoCmYja3U5g-5AkRBSUZ_5x
Thomas Jefferson;James Madison;Thomas Jefferson;John Adams;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTUPIh_k4a0cd8feyJMtuPdtGJ8WuccSiGigTsji60oQSbwB2c2
Charlie Chaplin;Buster Keaton;Charlie Chaplin;Laurel and Hardy;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRpSXU3q2_N6nLjPIAFpDCbcqO5QZzdpZHuwkbd2suWDqtv18a2
George Orwell;Aldous Huxley;George Orwell;Ray Bradbury;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRnYkT_gUyIThdga5MyLvgCGLhqeTP33xMIkRZJAlCq3LcLlK2O
Rosa Parks;Harriet Tubman;Rosa Parks;Martin Luther King Jr.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQs1djcDhE32CJFwHnUQXVjDV0W9YSZHnWsVvac2PEz2Z-5aRIk
John Lennon;Paul McCartney;John Lennon;George Harrison;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQfz2An4Dbvy7qE2wh_UVFYJAn1SDW_7RaMFktrMD1RXOlYxuUU
Winston Churchill;Joseph Stalin;Winston Churchill;Adolf Hitler;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSb1ofaTfEuBm618q95fm4RpegpXnVEaVgeYsgfIsFeWOFDZ9Ld
Malcolm X;Rosa Parks;Malcolm X;Martin Luther King Jr.;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT3Tjdq4zH7-husIIlano1GQK_Oe6lyW6LCxkS7-8Knw-qV-jra
Vladimir Putin;Joseph Stalin;Vladimir Putin;Mikhail Gorbachev;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRiiil18i1Dgghuu-4z8wCIZRnzd_sCtJevCvAEd-2LOyaJFB3e
Jane Austen;Charlotte Brontë;Jane Austen;Emily Brontë;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSi7OL8QjjgG8qQ1t5NVP_dxRvQzjSFqYfdHBWjgvVgj6nLBNVM
Marilyn Monroe;Elvis Presley;Marilyn Monroe;James Dean;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTG7tAOOCOAUmKjKHjNX3Ko2bPKLNDQ2jVihBm4cleTDUK40ruE
George Washington;Thomas Jefferson;George Washington;John Adams;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcThqrOqMKNpGudoB5Qb8U-FFsqUGDceKuK7UewtxntADBCLGk8V
Marie Curie;Marie Antoinette;Marie Curie;Catherine the Great;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_xaPaxA4q2Nm007c8DhG_iFRQVnLJyFGHB8g6DZl9Ughnz78_
Muhammad Ali;Joe Frazier;Muhammad Ali;Mike Tyson;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR5JvmvoFQsMEFtuIMGIKts6SQ97wJg95rMHWx52ahjpm9UU76M
Mozart;Bach;Mozart;Beethoven;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTmbLnjhbS4Q7ktFkZ8mRgCuxNiasT6AzdLs_KLTPxlppJfdwD4
Elizabeth II;Prince Philip;Elizabeth II;Prince Charles;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs-1vRsYDcD7iTuGoYeSsbdueOaTCU3qXOhC8Ox2yRbWt6tNRz
Catherine the Great;Elizabeth I;Catherine the Great;Isabella I;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQfh_EwRxE9eHVGFW9bk9VSf49VGgCPofwNIOkALedbDC29PcJj
Che Guevara;Mao Zedong;Che Guevara;Fidel Castro;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQu2hpotPFXl7PAzFK65vLhQ16eD9j06awwqmXbbuobCFB_Ftfo
Charles Darwin;Galileo Galilei;Charles Darwin;Isaac Newton;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRzgWOmAVC7qbn_iBg-Hd21reFb2vHh8o6sXgK5dUsgsu53VsO8
Walt Disney;Steven Spielberg;Walt Disney;George Lucas;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS_8GDgtzGkoTrmsyg5a7gsS_yiziCw89cpQ4OOjujXHYjLUG0A
John F. Kennedy;Robert F. Kennedy;John F. Kennedy;Lyndon B. Johnson;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQiClqpQLiOfEDWdQWe7J7mVIhq3F0qVGaw6sMUM0XAwyrsInF1
Eleanor Roosevelt;Jackie Kennedy;Eleanor Roosevelt;Margaret Thatcher;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQN1fVdS0559mIujbGF6fpUlQ9vFbMSa9SdzFhkWO7KxbLjr_LH
Winston Churchill;Charles de Gaulle;Winston Churchill;Franklin D. Roosevelt;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSb1ofaTfEuBm618q95fm4RpegpXnVEaVgeYsgfIsFeWOFDZ9Ld
Vincent van Gogh;Claude Monet;Vincent van Gogh;Pablo Picasso;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7d7ASllm8jAxcMy6dan4nvuK-6Iss5xR4itQxWCMxc_41zAsV
Albert Einstein;Stephen Hawking;Albert Einstein;Nikola Tesla;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWwBhZ_ZXUdfW5M_JpXdjALYKQvRCHxpBPPPJ_jEB4iQVNqVZZ
Abraham Lincoln;John F. Kennedy;Abraham Lincoln;Franklin D. Roosevelt;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS5ULQdoAXT86GSrirHo5KFzirhdimvPrFXNHb3t75e3Lz6h_tI
Coco Chanel;Yves Saint Laurent;Coco Chanel;Christian Dior;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSkWezd81Hhi29Hbb0AyaOi-vLGuhiu7lCHb0ISMxtLNuePC6qH
Cleopatra;Mark Antony;Cleopatra;Augustus Caesar;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTPIjHGERXU-qoIQBMFjw_CK6L_QpeIAhOfWorKHTg-hK5ccDFm
Gandhi;Nelson Mandela;Gandhi;Martin Luther King Jr.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIxFgzGPHD_uZn5aA-RMCwQ8tWRDmk71t6PXwklwlvZ7GxSaqB
Rosa Parks;Malcolm X;Rosa Parks;Martin Luther King Jr.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQs1djcDhE32CJFwHnUQXVjDV0W9YSZHnWsVvac2PEz2Z-5aRIk
Wolfgang Amadeus Mozart;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Sebastian Bach;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTmbLnjhbS4Q7ktFkZ8mRgCuxNiasT6AzdLs_KLTPxlppJfdwD4
